experiment,method,seed,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal,theta_std,sharpe,max_drawdown,regime_detection_acc,turnover,theta_stability,mean_welfare,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count
exp2_hidden_regime,nbo_full_ndu,20290540,0.01132464258763807,0.011389009098944358,,,0.5,1.0100532755674347,,1.4439703677362163,0.0,0.6058756510416666,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290541,0.011317715007060924,0.011382002644358069,,,0.5,1.0100471254067631,,1.443091274783601,0.0,0.6114095052083333,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290512,0.011323406084359083,0.01138775851389151,,,0.5,1.0100532816352696,,1.4439712120142618,0.0,0.60400390625,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290513,0.011320626471773,0.01138494725165562,,,0.5,1.010050814684061,,1.4436185962422654,0.0,0.6121419270833333,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290514,0.011320585098580032,0.011384905407431978,,,0.5,1.01005077780956,,1.443613311328702,0.0,0.615478515625,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290515,0.011314204335100109,0.011378452020152086,,,0.5,1.0100451111793203,,1.4428034069214992,0.0,0.6082356770833333,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290516,0.011316923370522508,0.011381201997727297,,,0.5,1.0100475261599462,,1.443148564306834,0.0,0.6080729166666667,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290517,0.011316685389795335,0.011380961308522064,,,0.5,1.0100473138988635,,1.4431182220403898,0.0,0.5965169270833334,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290518,0.011315771225367107,0.011380036740446409,,,0.5,1.0100465020535578,,1.4430021520768856,0.0,0.5924479166666667,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290519,0.011321080499810166,0.011385406448882307,,,0.5,1.010051216831099,,1.4436760929915646,0.0,0.6055501302083333,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290520,0.011316902001451306,0.011381180385450662,,,0.5,1.0100475062971994,,1.4431457177299314,0.0,0.6004231770833333,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290521,0.01131529029645185,0.011379550338659339,,,0.5,1.0100460765826094,,1.4429413542988037,0.0,0.6217447916666667,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290522,0.011317656124625146,0.011381943091723912,,,0.5,1.0100481771232972,,1.4432416054115045,0.0,0.6153971354166666,,,,,,,,,,
exp2_hidden_regime,nbo_fixed_pref_recurrent,20290523,0.011319057010548198,0.011383359923443193,,,0.5,1.0100494199745544,,1.443419252268379,0.0,0.6012369791666666,,,,,,,,,,
