experiment,method,seed_index,seed,param_dim,iterations,population,evaluation_budget,best_in_search_utility,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal,sharpe,max_drawdown,regime_detection_acc,turnover,theta_stability
exp2,same_dim_oracle_joint_action_rl,21,21223,18,33,68,2244,-0.11432533509794524,-0.10039935559965363,-0.095523861709363,,,0.18269856770833334,,0.570947777760741,-0.06927069427351285,1.0,,
exp2,same_dim_oracle_joint_action_rl,22,22223,18,33,68,2244,-0.1010617418080825,-0.11510833881804106,-0.10873042041671455,,,0.17667643229166666,,0.48153605448125986,-0.07807610314162178,1.0,,
exp2,same_dim_oracle_joint_action_rl,23,23223,18,33,68,2244,-0.10101120344502681,-0.12019547699504823,-0.11325291888059119,,,0.16495768229166666,,0.41115535609023934,-0.07604596444315118,1.0,,
exp2,same_dim_oracle_joint_action_rl,24,24223,18,33,68,2244,-0.11525521623942239,-0.10783266906541038,-0.10222219013761447,,,0.196044921875,,0.508652718804459,-0.07130891524909458,1.0,,
exp2,same_dim_oracle_joint_action_rl,25,25223,18,33,68,2244,-0.10471329673092272,-0.11160453470021234,-0.10560210909906631,,,0.196533203125,,0.4302460094912034,-0.07233115386350197,1.0,,
exp2,same_dim_oracle_joint_action_rl,26,26223,18,33,68,2244,-0.1175549637494187,-0.10407940303630245,-0.09884625976283656,,,0.1865234375,,0.5297752063819301,-0.07052586276404589,1.0,,
exp2,same_dim_oracle_joint_action_rl,27,27223,18,33,68,2244,-0.11539377668784376,-0.1259697226200902,-0.11835845982483284,,,0.16756184895833334,,0.3653264128802902,-0.07993760465427786,1.0,,
exp2,same_dim_oracle_joint_action_rl,28,28223,18,33,68,2244,-0.1146489670263619,-0.10998505449623655,-0.10415247591098042,,,0.18513997395833334,,0.46859416898626827,-0.06974766335327326,1.0,,
exp2,same_dim_oracle_joint_action_rl,29,29223,18,33,68,2244,-0.10953503601420304,-0.10661575748250203,-0.10112900890436771,,,0.19425455729166666,,0.4972590928923025,-0.07169152352457647,1.0,,
exp2,same_dim_oracle_joint_action_rl,30,30223,18,33,68,2244,-0.11409777977144182,-0.1137368494893794,-0.10750721508456107,,,0.18782552083333334,,0.4681479974707398,-0.07412310501044794,1.0,,
exp2,same_dim_preference_backbone,1,1223,18,33,68,2244,0.01109022309823146,0.011093443862136575,0.01115520427778427,,,0.5,,1.443375672974064,0.0,0.6259765625,,
exp2,same_dim_preference_backbone,2,2223,18,33,68,2244,0.011734333584540806,0.011314096161287378,0.011378342615494752,,,0.5,,1.4061734219687252,-0.0007539838742024077,0.5975748697916667,,
exp2,same_dim_preference_backbone,3,3223,18,33,68,2244,0.011260820455937307,0.011260962599061319,0.011324605909017293,,,0.5,,1.443375672974064,0.0,0.5995279947916666,,
exp2,same_dim_preference_backbone,4,4223,18,33,68,2244,0.011269697036324343,0.011269592630635,0.011333333709958149,,,0.5,,1.443375672974064,0.0,0.5917154947916667,,
exp2,same_dim_preference_backbone,5,5223,18,33,68,2244,0.011353469338872933,0.011353422577166698,0.011418117282900209,,,0.5,,1.443375672974064,0.0,0.595947265625,,
exp2,same_dim_preference_backbone,6,6223,18,33,68,2244,0.01124007994928667,0.011240091206387427,0.011303498376319165,,,0.5,,1.443375672974064,0.0,0.603271484375,,
exp2,same_dim_preference_backbone,7,7223,18,33,68,2244,0.011102633642399905,0.011102255908559615,0.011164114663644531,,,0.5,,1.443375672974064,0.0,0.6110026041666666,,
exp2,same_dim_preference_backbone,8,8223,18,33,68,2244,0.011272202090001727,0.011271818498205032,0.011335584806533516,,,0.5,,1.443375672974064,0.0,0.6119791666666665,,
exp2,same_dim_preference_backbone,9,9223,18,33,68,2244,0.011236688756072054,0.011236654776225855,0.011300023108446133,,,0.5,,1.443375672974064,0.0,0.605712890625,,
