audit,method,seed,param_dim,policy_evaluations,search_mean_welfare,theta_cost_multiplier,evaluation_variant,mean_welfare,mean_welfare_no_theta_cost,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,theta_mean_abs_deviation_from_one,service_breach_count
equal_budget_inventory,valuation_only_service_rule,8361,6,192,-3.718054428557276,1.0,normal,-3.7977643615695023,-3.7947200594914623,4.393894364302495,4.390850062224455,0.999623672216624,0.34785016743791797,8.869076056985248,22.850868364465313,0.09267868668028915,0.23702846094678467,1.3619791666666667
equal_budget_inventory,valuation_only_service_rule,9361,6,192,-3.6531252313579303,1.0,normal,-3.808166084699364,-3.8043365183548743,4.4008422494669,4.397012683122411,0.9996118643459421,0.36060775022655833,8.608472349227133,23.155772192765,0.09316161480570839,0.27191798537270606,1.4739583333333333
equal_budget_inventory,valuation_only_service_rule,10361,6,192,-3.72966104071377,1.0,normal,-3.7400101704281385,-3.736462212335356,4.342133837591475,4.338585879498692,0.9997088177704171,0.26233324886557813,8.788085981303999,23.025865561619014,0.12867535984634568,0.24726315476019595,1.1848958333333333
equal_budget_inventory,valuation_only_service_rule,11361,6,192,-3.790829635751381,1.0,normal,-3.771096459570272,-3.768105265420058,4.36998662131695,4.366995427166736,0.9996952545933345,0.2670172327198908,8.842479164315234,22.710950746119494,0.08740978648010313,0.23539245932083866,1.2890625
equal_budget_inventory,valuation_only_service_rule,12361,6,192,-3.744997554686826,1.0,normal,-3.789450171984329,-3.785970680833786,4.380299732853195,4.376820241702652,0.9993737732336084,0.5638404250837225,8.554676464790568,22.786562870831947,0.06301115053936804,0.26880330609170805,1.4713541666666667
equal_budget_inventory,valuation_only_service_rule,13361,6,192,-3.7301683639442436,1.0,normal,-3.765042212586115,-3.7615525408174926,4.361420995550996,4.357931323782374,0.9997426603706101,0.24340330465245663,8.634272939815734,23.025398855258135,0.06871622817367651,0.2647248525476841,1.3854166666666667
equal_budget_inventory,valuation_only_service_rule,14361,6,192,-3.824607882834967,1.0,normal,-3.8090067023225327,-3.806166489708738,4.4038300706803115,4.4009898580665165,0.9996361241697224,0.3251240158865574,8.828780324195641,22.847208341015897,0.07531564041803229,0.2376381846200065,1.4088541666666667
equal_budget_inventory,valuation_only_service_rule,15361,6,192,-3.926690357914996,1.0,normal,-3.717719537255452,-3.714155423316718,4.318321331356223,4.3147572174174895,0.9997529586375964,0.22369099081322505,8.725744910689619,23.179942058833888,0.11380015625469923,0.2548390431585032,1.2473958333333333
equal_budget_inventory,valuation_only_service_rule,16361,6,192,-3.675587362930449,1.0,normal,-3.7475741915844636,-3.7436678168934523,4.33965381553995,4.33574744084894,0.9997228436194359,0.26265240215077196,8.462215265370526,22.787317267981688,0.09493324118564894,0.2733316592980092,1.5234375
equal_budget_inventory,valuation_only_service_rule,17361,6,192,-3.6801219416058784,1.0,normal,-3.7693476266503474,-3.7666500827398264,4.37594377842784,4.373246234517318,0.9998381908471865,0.14249605411182548,9.30806800182634,22.876713881216926,0.13868170327113358,0.21089738329905666,1.0703125
equal_budget_inventory,valuation_only_service_rule,18361,6,192,-3.7645777024898015,1.0,normal,-3.785410474690336,-3.7816476233359,4.377813133873673,4.374050282519238,0.9996167386479172,0.35682472335751253,8.538345847508603,23.012624265995015,0.08968741553608299,0.2694136418101465,1.484375
equal_budget_inventory,valuation_only_service_rule,19361,6,192,-3.813103050246215,1.0,normal,-3.775950552859207,-3.771932096133348,4.36765745896813,4.36363900224227,0.9996664882636154,0.3007491984699703,8.424574381847908,22.98797275670223,0.09519137822678007,0.2801726322200198,1.5208333333333333
