experiment,method,iteration,loss_perf,hjb_loss,terminal_loss,residual_mean_abs,mean_hamiltonian,mean_action,omega,algorithm,backend,initialization,ad_terms
exp2_hidden_regime,nbo_fixed_pref_recurrent,180,0.05548539415545939,0.005335943436734714,1.4512666430262484e-05,0.058469029896089146,-0.05548539415545939,0.0001149;0.25;0.549997,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_fixed_pref_recurrent,225,0.037857775974416384,0.0037806737073864914,1.2088497757871923e-05,0.0504677216587231,-0.037857775974416384,0.00011494;0.25;0.550061,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_fixed_pref_recurrent,270,0.02094601000702219,0.0012831999263107198,8.125216782383424e-06,0.029913491963539016,-0.02094601000702219,0.000114834;0.25;0.550018,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_fixed_pref_recurrent,315,0.02402701303911728,0.0096678300663776,1.2649616900955465e-05,0.08547424235692012,-0.02402701303911728,0.000114733;0.25;0.549972,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_fixed_pref_recurrent,360,-0.01741686807250802,0.003980048722880015,2.9926581550219315e-06,0.052863017298873334,0.01741686807250802,0.000114707;0.25;0.549999,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_fixed_pref_recurrent,405,0.031296755113334775,0.0015972475192467383,8.108189937066129e-06,0.03295999789162344,-0.031296755113334775,0.000114684;0.25;0.549971,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_fixed_pref_recurrent,450,0.02021295714749723,0.0005081686356247979,4.416676319613307e-06,0.019252172490491146,-0.02021295714749723,0.000114699;0.25;0.550038,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_oracle_joint_action,1,0.3759149993663937,26.33319178507735,0.021399156094293964,4.442357014034884,-0.3759149993663937,0.000115;0.25;0.55,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_oracle_joint_action,45,0.05114484374047575,0.035800671284468566,9.24694750466667e-06,0.15619033949600244,-0.05114484374047575,0.000114961;0.25;0.550003,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_oracle_joint_action,90,0.08871461528567758,0.007497512620366141,1.7998522756134132e-05,0.0687921841189118,-0.08871461528567758,0.000114928;0.25;0.549991,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_oracle_joint_action,135,0.05234210046564574,0.004583844398122993,1.0427681963517682e-05,0.054377719133569785,-0.05234210046564574,0.000114887;0.25;0.550015,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_oracle_joint_action,180,0.05548539415545939,0.005335943436734714,1.4512666430262484e-05,0.058469029896089146,-0.05548539415545939,0.0001149;0.25;0.549997,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_oracle_joint_action,225,0.037857775974416384,0.0037806737073864914,1.2088497757871923e-05,0.0504677216587231,-0.037857775974416384,0.00011494;0.25;0.550061,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_oracle_joint_action,270,0.02094601000702219,0.0012831999263107198,8.125216782383424e-06,0.029913491963539016,-0.02094601000702219,0.000114834;0.25;0.550018,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_oracle_joint_action,315,0.02402701303911728,0.0096678300663776,1.2649616900955465e-05,0.08547424235692012,-0.02402701303911728,0.000114733;0.25;0.549972,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_oracle_joint_action,360,-0.01741686807250802,0.003980048722880015,2.9926581550219315e-06,0.052863017298873334,0.01741686807250802,0.000114707;0.25;0.549999,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
