scenario,method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
volatile_demand,action_only_adaptive_base_stock,4858,7,9,22,198,-5.793652284154395,-5.547709627342773,6.136632545143539,0.9995040366000957,0.4979429540372311,13.636804012030732,25.171656693918703,0.0,1.5703125
volatile_demand,action_only_adaptive_base_stock,5858,7,9,22,198,-5.449940165165918,-5.625584775730377,6.203288667870581,0.9993809552675256,0.6361192225815289,12.991135894349343,25.142792883828804,0.0,1.9114583333333333
volatile_demand,action_only_adaptive_base_stock,6858,7,9,22,198,-5.574709682367626,-5.604902403347857,6.1912062746810905,0.9995965776666541,0.41097261689966835,13.457509398705975,25.230529877607164,0.0,1.6822916666666667
volatile_demand,action_only_adaptive_base_stock,7858,7,9,22,198,-5.54692338631957,-5.619067217466198,6.187864164365841,0.9992246183624554,0.7709318170372962,12.484242314570379,25.25659755672673,0.0,2.1666666666666665
volatile_demand,action_only_adaptive_base_stock,8858,7,9,22,198,-5.756151495337663,-5.503138923003921,6.0873553564417975,0.9993551791797343,0.6437901044441365,12.984131230329709,25.392470587295083,0.0,1.6875
volatile_demand,action_only_adaptive_base_stock,9858,7,9,22,198,-5.467941761188657,-5.586941433345825,6.169968869154782,0.9994018669761195,0.6009546239586996,13.268915952994497,25.26183939011265,0.0,1.7395833333333333
volatile_demand,action_only_adaptive_base_stock,10858,7,9,22,198,-5.806907763503108,-5.596953590103065,6.179547053423754,0.9993183235400861,0.6861099251486801,13.24528133905614,25.25774049487732,0.0,1.7317708333333333
volatile_demand,action_only_adaptive_base_stock,11858,7,9,22,198,-5.415613370081713,-5.636215809382411,6.21376257207772,0.9996347515869138,0.36520878992097844,12.838161899873649,25.135012845445676,0.0,1.984375
volatile_demand,fixed_service_base_stock,3858,3,8,18,144,-5.539114089490698,-5.643632721022662,6.226715427374942,0.999525963294035,0.4720081165944215,13.316828030855762,25.246795302978995,0.0,1.7708333333333333
volatile_demand,fixed_service_base_stock,4858,3,8,18,144,-5.835073969453009,-5.562267421052428,6.151328594061646,0.9995115528761521,0.4920708758173049,13.562826469214796,25.178250779376423,0.0,1.5677083333333333
volatile_demand,fixed_service_base_stock,5858,3,8,18,144,-5.497488437681424,-5.6717900269509505,6.2431638459356975,0.9993221179980933,0.6921022918874175,12.665088509170365,25.13796586420146,0.0,2.1067708333333335
volatile_demand,fixed_service_base_stock,6858,3,8,18,144,-5.6410160643966485,-5.666177316216438,6.24017949504583,0.9994846473536739,0.5252312057390854,12.869901629409123,25.208175313211637,0.0,2.0625
volatile_demand,fixed_service_base_stock,7858,3,8,18,144,-5.586271083963991,-5.641056701881766,6.210644866113317,0.9993723486539438,0.6199009238886521,12.331181099798878,25.284943326714256,0.0,2.1796875
volatile_demand,fixed_service_base_stock,8858,3,8,18,144,-5.820803897256307,-5.550108526244035,6.132739110170519,0.9994108542408107,0.5868901344076466,12.90280720123711,25.4100492457134,0.0,1.7552083333333333
