method,seed,sku_count,test_months,training_months_per_sku,source_dataset,split,external_avg_cost,valuation_adjusted_welfare,theta_free_external_welfare,fill_rate,avg_order,avg_ending_inventory,avg_ending_backlog,lost_sales_rate,capacity_excess_rate,theta_mean,theta_std,target_fill_mean,periods
mpc_scenario_base_stock,8167,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.440407718581,-0.220716255592,-0.220716255592,0.984045649432,0.904487179487,0.797814182077,0.0800056945271,0,0.0666360293407,1,0,0.93,156
approximate_dp_inventory,8167,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.37724782641,-0.0944532920893,-0.0944532920893,0.992614149814,0.954734549183,0.959038362978,0.0517889111167,0,0.0735584244637,1,0,0.93,156
tabular_inventory_rl,8167,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.450260829638,-0.229855711502,-0.229855711502,0.98087618632,0.889480789426,0.772840468956,0.0868394661478,0,0.0509108120798,1,0,0.93,156
full_ndu_theta_service_control,8264,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.336861263445,-0.0158356985478,-0.0306584653978,0.992765976446,0.957222983167,0.97149325396,0.0367449317787,0,0.061812732635,1.03314639267,0.165748715751,0.931823051597,156
rolling_forecast_base_stock_backlog,8264,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.378375892286,-0.122028565189,-0.122028565189,0.986688888659,0.893467444414,0.768923763592,0.0623410298413,0,0.0503316992909,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,8264,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.575148219504,-0.339518706517,-0.339518706517,0.929273430986,0.823974324131,0.73175513807,0,0.0707265690144,0.0160614515906,1,0,0.93,156
seasonal_service_tuned_base_stock,8264,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.354293770617,-0.0737184208555,-0.0737184208555,0.989660836146,0.915041486794,0.835809256601,0.0505496014307,0,0.0459761803513,1,0,0.93,156
mpc_scenario_base_stock,8264,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.369016114046,-0.102916478088,-0.102916478088,0.989703792964,0.920833333333,0.820735361331,0.053758254092,0,0.0628883604575,1,0,0.93,156
approximate_dp_inventory,8264,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.335560042119,-0.0248121618215,-0.0248121618215,0.99408783434,0.962598281041,0.975535806873,0.0354991458972,0,0.0614537384948,1,0,0.93,156
tabular_inventory_rl,8264,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.38058005686,-0.121370995684,-0.121370995684,0.982627138272,0.884472770412,0.75561673902,0.0641068332445,0,0.0390489387781,1,0,0.93,156
