audit,epsilon,method,seed,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count,theta_rmse,p_rmse
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,32061,-6.2503865062732,6.887219744161575,0.9999776898922967,0.018621861258015418,19.837511135445265,23.110369078626732,0.099609375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,33061,-6.3124812981900265,6.949320887162829,0.9999931322153504,0.00542793514298074,20.02441256987045,23.270105549312404,0.103515625,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,34061,-6.249058197506519,6.886938197661077,0.9999766992380696,0.01923758589407442,19.864043769175083,23.13361854769562,0.064453125,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,35061,-6.358336015764872,6.995082461884039,0.999981489358646,0.01563521763586824,20.152937152638355,23.352362744991623,0.103515625,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,36061,-6.29113905182831,6.9281229120458345,0.9999598965896905,0.030187927894321877,19.97232548269497,23.220601705008743,0.08984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,37061,-6.264469002775803,6.901834615378426,0.9999636703253281,0.03140136868552618,19.89202603439687,23.11398130798441,0.078125,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,38061,-6.266462890524978,6.90339750281152,0.9999830374733178,0.014055847420788144,19.884245186039664,23.11956056305894,0.09765625,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,9061,-6.362553179276485,6.999842959859782,0.9999468671041623,0.0462725444085154,20.195315479968087,23.38753876558971,0.076171875,0.015162180385922527,0.017979337813309543
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,10061,-6.32861946147889,6.965685824318263,0.9999775336361716,0.018824238100851334,20.076150171445633,23.32475868674925,0.091796875,0.01506368339364077,0.017846675362535848
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,11061,-6.24844271792252,6.884796164961236,0.9999689855673396,0.024814932263767603,19.821404758636504,22.992150059879766,0.11328125,0.015154885490813319,0.01795000850808441
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,12061,-6.292512412786774,6.92925501681551,0.999966360659842,0.02775174972426804,19.963701981564938,23.193033214514184,0.099609375,0.015081093353882627,0.017873355809053065
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,13061,-6.326537565719843,6.963367684354162,0.9999626515480398,0.03182490349630509,20.05620205389446,23.29178711819583,0.095703125,0.015055846551118817,0.017837563740336904
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,14061,-6.284476250332314,6.921740976009657,0.9999437352409178,0.048584509757582245,19.955775683926305,23.208222772170952,0.076171875,0.015158816862184479,0.017961004480345506
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,15061,-6.290681979715709,6.928208515859275,0.9999837857679459,0.014958456053233121,19.95863180346924,23.285945531855038,0.078125,0.015029748031266301,0.017805895161814845
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,16061,-6.298079572197848,6.93500770204142,0.9999895513866965,0.008287978162675028,19.975236015731078,23.221201226246123,0.099609375,0.015120406330728935,0.017898638655968052
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,17061,-6.325418625884538,6.962684295397341,0.9999585016578505,0.03587365288935952,20.066007776455145,23.33638291289374,0.080078125,0.015253626423100809,0.018067766573517375
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,18061,-6.327710582640884,6.965044065955262,0.9999962752580474,0.0034267625964309253,20.087368489281978,23.31496843437263,0.087890625,0.01526842335158103,0.01809221062685756
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,19061,-6.298082027600788,6.934918797813189,0.9999415103390503,0.04684936761767939,19.973199985997788,23.22939303919494,0.08984375,0.01515888922668127,0.01795613021879921
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,20061,-6.292975306635864,6.930187273600554,0.9999517888393362,0.040577583831911034,19.981773546570807,23.26413472207353,0.080078125,0.01515053365998761,0.01796206530719589
same_benchmark_inventory_direct_p_vs_z,0.001,direct_p_inventory,21061,-6.224431105298647,6.861186719571201,0.9999386900653191,0.05002913657914716,19.78075862158348,22.98117818486508,0.091796875,0.015193034326958442,0.017980187977687304
