batch,seed,epsilon,k,zeta,direct_p_mse,inferred_p_mse,induced_z_mse,slope_parity_error,intercept_parity_error,direct_design_condition,z_design_condition
34,2026092434,0.01,1.0026939567014306,0.14180233924767055,2.4191342363942396e-06,2.4191342363962335e-06,4.8382684727924666e-08,1.1102230246251565e-15,2.949029909160572e-17,6.847968919005429,2.9565466141263625
34,2026092434,0.001,1.0014376949443007,0.04478565522252309,6.88988917622581e-07,6.889889176227937e-07,1.3779778352455874e-09,2.220446049250313e-16,5.4860629927766524e-17,6.847968919005429,7.6064286581391825
34,2026092434,0.0001,1.0005132181639351,0.01414939362460989,8.779762793098036e-08,8.77976279311323e-08,1.7559525586226457e-11,4.440892098500626e-16,4.2582040324368187e-17,6.847968919005429,23.579125157979586
35,2026092435,0.1,0.9160581761642023,0.4096736706495266,0.002348743262960034,0.002348743262960052,0.00046974865259201046,3.3306690738754696e-16,8.326672684688674e-17,6.820094946201868,3.416253205295522
35,2026092435,0.01,0.9780748327527915,0.1383206693494795,0.00016023765293935477,0.00016023765293934826,3.204753058786965e-06,4.440892098500626e-16,7.806255641895632e-17,6.820094946201868,2.944134639035094
35,2026092435,0.001,0.9935286101598477,0.044431950198166106,1.3959628821075363e-05,1.3959628821080153e-05,2.791925764216031e-08,1.1102230246251565e-15,3.686287386450715e-17,6.820094946201868,7.581825928295003
35,2026092435,0.0001,0.997999762529625,0.01411384799414524,1.3336499792974362e-06,1.3336499792972884e-06,2.667299958594577e-10,1.1102230246251565e-16,4.6132802439258214e-17,6.820094946201868,23.505882281891424
36,2026092436,0.1,0.9844382372248642,0.4402541636169721,8.072282022320043e-05,8.072282022319927e-05,1.6144564044639855e-05,1.1102230246251565e-16,2.7755575615628914e-17,6.9483423969735565,3.4830693905549954
36,2026092436,0.01,0.9920334905093305,0.14029472166066168,2.115509115497553e-05,2.1155091154973757e-05,4.2310182309947514e-07,3.3306690738754696e-16,5.204170427930421e-17,6.9483423969735565,2.9862721830847696
36,2026092436,0.001,0.9971762236995144,0.044595076434773055,2.6579041983946777e-06,2.657904198393215e-06,5.31580839678643e-09,7.771561172376096e-16,8.023096076392733e-18,6.9483423969735565,7.651734188787025
36,2026092436,0.0001,0.9990765890486367,0.014129076620820344,2.842292616992122e-07,2.842292616987338e-07,5.684585233974676e-11,7.771561172376096e-16,4.700016417724662e-17,6.9483423969735565,23.70788453082202
37,2026092437,0.1,0.9726911675604352,0.4350007143557544,0.0002485907764040762,0.00024859077640407013,4.971815528081403e-05,3.3306690738754696e-16,5.551115123125783e-17,6.920592239987724,3.4772536412609605
37,2026092437,0.01,0.9886093437203519,0.13981047417780867,4.3249016827028756e-05,4.3249016827027075e-05,8.649803365405414e-07,2.220446049250313e-16,1.9081958235744878e-17,6.920592239987724,3.011658061801478
37,2026092437,0.001,0.9961224736907455,0.04454795130175502,5.011736759653688e-06,5.011736759655697e-06,1.0023473519311394e-08,7.771561172376096e-16,1.214306433183765e-17,6.920592239987724,7.73699626826693
37,2026092437,0.0001,0.9987462700655052,0.01412440520496179,5.239462495494419e-07,5.239462495496274e-07,1.047892499099255e-10,2.220446049250313e-16,1.5341460740669888e-17,6.920592239987724,23.977370224452706
38,2026092438,0.1,0.9072490910663872,0.4057341280298678,0.0028675770360037794,0.0028675770360037725,0.0005735154072007545,1.1102230246251565e-16,6.938893903907228e-17,6.907629915553896,3.4673143556823294
38,2026092438,0.01,0.9690291723885497,0.13704141979270626,0.00031973072097939105,0.00031973072097939565,6.394614419587913e-06,2.220446049250313e-16,1.5612511283791264e-17,6.907629915553896,2.9946550853763156
38,2026092438,0.001,0.9900421228844023,0.04427602974715448,3.305310554978147e-05,3.305310554978073e-05,6.610621109956146e-08,1.1102230246251565e-16,3.642919299551295e-17,6.907629915553896,7.692781265512136
38,2026092438,0.0001,0.9968346386166301,0.014097370653749218,3.33983756244307e-06,3.339837562442368e-06,6.679675124884736e-10,3.3306690738754696e-16,3.8163916471489756e-17,6.907629915553896,23.841031389672604
39,2026092439,0.1,0.9133978478291428,0.4084839356495944,0.0024999775868747693,0.0024999775868747693,0.0004999955173749538,0.0,1.1102230246251565e-16,6.859474714581411,3.469859977078236
39,2026092439,0.01,0.9744297361742464,0.1378051748477257,0.00021794613070621368,0.00021794613070620422,4.358922614124084e-06,5.551115123125783e-16,4.163336342344337e-17,6.859474714581411,3.0888805657661735
39,2026092439,0.001,0.9920955467226685,0.04436786165293414,2.0826793871172068e-05,2.0826793871168558e-05,4.165358774233712e-08,6.661338147750939e-16,3.686287386450715e-17,6.859474714581411,7.987575209616159
39,2026092439,0.0001,0.9975185498114012,0.014107042618620261,2.052531679499006e-06,2.0525316794980876e-06,4.1050633589961757e-10,5.551115123125783e-16,9.703609443745265e-18,6.859474714581411,24.767315006314988
40,2026092440,0.1,1.0130801766025879,0.453063228308176,5.7030339984962364e-05,5.70303399849701e-05,1.140606799699402e-05,8.881784197001252e-16,0.0,6.891562993772423,3.46255110246837
40,2026092440,0.01,1.0035076867129842,0.14191741804951538,4.101288692148591e-06,4.101288692149629e-06,8.202577384299258e-08,4.440892098500626e-16,6.938893903907228e-18,6.891562993772423,3.0037799004839383
40,2026092440,0.001,1.0010463651018184,0.0447681544199348,3.649599754345021e-07,3.649599754348119e-07,7.299199508696239e-10,4.440892098500626e-16,3.111660235033398e-17,6.891562993772423,7.725917425435968
40,2026092440,0.0001,1.0003246034154554,0.01414672620925625,3.512245910843077e-08,3.512245910847882e-08,7.024491821695764e-12,2.220446049250313e-16,1.9231036034461635e-17,6.891562993772423,23.94643052995912
41,2026092441,0.1,1.012218438807375,0.4526778474503999,4.976341562985533e-05,4.976341562984811e-05,9.95268312596962e-06,8.881784197001252e-16,1.3877787807814457e-17,6.910642832507399,3.4747389362456156
41,2026092441,0.01,1.0027986421140331,0.14181714400069892,2.61079922747995e-06,2.61079922747995e-06,5.221598454959899e-08,0.0,8.500145032286355e-17,6.910642832507399,3.0190323392171736
41,2026092441,0.001,1.0007784915941789,0.04475617475248572,2.0201638740238359e-07,2.020163874024988e-07,4.0403277480499766e-10,2.220446049250313e-16,2.949029909160572e-17,6.910642832507399,7.762558701535634
41,2026092441,0.0001,1.0002355289827467,0.01414546650654827,1.8491300571232114e-08,1.8491300571197247e-08,3.6982601142394495e-12,2.220446049250313e-16,1.7184604433895245e-17,6.910642832507399,24.05838596903372
