method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
fixed_service_base_stock,8261,3,8,18,144,-3.6995484424800726,-3.6914269002486835,4.285475420094961,0.9996100688870349,0.35529764542739306,8.29711622576437,22.93085058632277,0.0,1.427734375
fixed_service_base_stock,9261,3,8,18,144,-3.7782488652654074,-3.7642544323668687,4.351843316648395,0.9994178488164409,0.5383353970733811,8.257406338252201,22.804226506511764,0.0,1.591796875
fixed_service_base_stock,10261,3,8,18,144,-3.6251615249600277,-3.73948964306069,4.327372100108352,0.999615678224708,0.3436850416296105,8.228173046943567,23.00260575755435,0.0,1.634765625
fixed_service_base_stock,11261,3,8,18,144,-3.710657207628159,-3.7150910526067675,4.306220809262349,0.9998018641131977,0.18857650709108761,8.134574488738277,22.903139466032954,0.0,1.576171875
fixed_service_base_stock,12261,3,8,18,144,-3.6917194624324963,-3.8261350206841396,4.425421016529338,0.9998106518243999,0.17209952388094774,9.081002482362578,23.022527058566816,0.0,1.306640625
fixed_service_base_stock,13261,3,8,18,144,-3.5480941594412037,-3.697173336613542,4.290174053884661,0.9996988201276398,0.2816757768250019,8.376701122720315,22.832387961014028,0.0,1.486328125
fixed_service_base_stock,14261,3,8,18,144,-3.735924983350138,-3.7604801648721815,4.355493590399119,0.9996720883471173,0.3042936571590934,8.571305815049005,23.052862649534795,0.0,1.412109375
fixed_service_base_stock,15261,3,8,18,144,-3.711739594403827,-3.7088766109531486,4.300498983262623,0.9996510387261843,0.30550988534060886,8.231453049977667,22.891662308266348,0.0,1.51953125
fixed_service_base_stock,16261,3,8,18,144,-3.6931794588832374,-3.7686169744796247,4.356897727193953,0.999584898776791,0.36846751995249866,8.35532223583983,22.688419786723394,0.0,1.61328125
fixed_service_base_stock,17261,3,8,18,144,-3.8098399734493356,-3.8101798070312967,4.398735553189974,0.9996778667073346,0.2968847823411749,8.412461477132258,23.094122526451294,0.0,1.62890625
fixed_service_base_stock,18261,3,8,18,144,-3.7221001913908958,-3.7370992425666714,4.3303845573192845,0.9996172073128267,0.343541864517258,8.390127099129145,23.133344613616753,0.0,1.455078125
fixed_service_base_stock,19261,3,8,18,144,-3.803235153743014,-3.7541010247103914,4.33898774560809,0.9995781252684623,0.39385811331405507,7.97155897821273,22.980689141212938,0.0,1.724609375
fixed_service_base_stock,20261,3,8,18,144,-3.6648633204761603,-3.683394317082157,4.273497849337007,0.9996882345006064,0.2883862656513831,8.159791827599443,22.897269996072154,0.0,1.580078125
